Instance,Algorithm,Best,Worst,Mean,Median,Std. Dev.,Algorithm 1 vs Algorithm 2,U-Test
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs EX-SARSA-LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs GA,0.000 (0.008)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs MC-LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs Q-LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs SARSA-LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs TD-LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-EX-HILL-CLIMBING-2000,2.000 (0.032)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-EX-HILL-CLIMBING-3000,13.000 (1.000)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-EX-HILL-CLIMBING-1000,11.000 (0.834)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-EXPECTED-LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-HILL-CLIMBING-2000,3.000 (0.056)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-HILL-CLIMBING-3000,15.000 (0.672)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-HILL-CLIMBING-1000,14.000 (0.834)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-LKH,25.000 (0.007)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-V2-HILL-CLIMBING-2000,10.000 (0.690)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-V2-HILL-CLIMBING-3000,11.000 (0.841)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-V2-HILL-CLIMBING-1000,5.000 (0.151)
berlin52,AC,7688.80587987401,7926.762275694793,7810.492553365216,7776.112193823329,93.62830691018199,AC vs VSR-V2-LKH,25.000 (0.007)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs GA,0.000 (0.007)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs LKH,12.500 (1.000)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs MC-LKH,12.500 (1.000)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs Q-LKH,12.500 (1.000)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs SARSA-LKH,12.500 (1.000)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs TD-LKH,12.500 (1.000)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs VSR-EX-HILL-CLIMBING-2000,0.000 (0.007)
berlin52,EX-SARSA-LKH,7544.365901904087,7544.365901904087,7544.365901904088,7544.365901904087,9.094947017729282e-13,EX-SARSA-LKH vs VSR-EX-HILL-CLIMBING-3000,5.000 (0.118)
